k,h,flip_rate,attack_cost_eth
0,14,0.0,0.0
2,14,0.0,2.2
4,14,0.0,4.4
6,14,0.002,6.6000000000000005
8,14,0.002,8.8
10,14,0.013333333333333334,11.0
12,14,0.04066666666666666,13.200000000000001
14,14,0.042,15.400000000000002
16,14,0.14666666666666667,17.6
18,14,0.3446666666666667,19.8
20,14,0.3546666666666667,22.0
22,14,0.648,24.200000000000003
24,14,0.9,26.400000000000002
26,14,1.0,28.6
28,14,1.0,30.800000000000004
30,14,1.0,33.0
32,14,1.0,35.2
34,14,1.0,37.400000000000006
36,14,1.0,39.6
38,14,1.0,41.800000000000004
40,14,1.0,44.0
