model_version,case,outcome,sum_net_wei,expected_sum_net_wei,deviation_wei
stake-vote-econ-v2.0.0,0,wrong,0,0,0
stake-vote-econ-v2.0.0,1,wrong,0,0,0
stake-vote-econ-v2.0.0,2,wrong,0,0,0
stake-vote-econ-v2.0.0,3,wrong,-1,-1,0
stake-vote-econ-v2.0.0,4,wrong,0,0,0
stake-vote-econ-v2.0.0,5,correct,0,0,0
stake-vote-econ-v2.0.0,6,wrong,-3,-3,0
stake-vote-econ-v2.0.0,7,correct,0,0,0
stake-vote-econ-v2.0.0,8,void,0,0,0
stake-vote-econ-v2.0.0,9,void,0,0,0
stake-vote-econ-v2.0.0,10,correct,0,0,0
stake-vote-econ-v2.0.0,11,void,0,0,0
stake-vote-econ-v2.0.0,12,wrong,-3,-3,0
stake-vote-econ-v2.0.0,13,void,0,0,0
stake-vote-econ-v2.0.0,14,correct,-3,-3,0
stake-vote-econ-v2.0.0,15,void,0,0,0
stake-vote-econ-v2.0.0,16,wrong,0,0,0
stake-vote-econ-v2.0.0,17,void,0,0,0
stake-vote-econ-v2.0.0,18,correct,0,0,0
stake-vote-econ-v2.0.0,19,wrong,0,0,0
stake-vote-econ-v2.0.0,20,void,0,0,0
stake-vote-econ-v2.0.0,21,correct,-10,-10,0
stake-vote-econ-v2.0.0,22,wrong,0,0,0
stake-vote-econ-v2.0.0,23,correct,0,0,0
stake-vote-econ-v2.0.0,24,wrong,-8,-8,0
stake-vote-econ-v2.0.0,25,wrong,-1,-1,0
stake-vote-econ-v2.0.0,26,void,0,0,0
stake-vote-econ-v2.0.0,27,void,0,0,0
stake-vote-econ-v2.0.0,28,void,0,0,0
stake-vote-econ-v2.0.0,29,void,0,0,0
stake-vote-econ-v2.0.0,30,wrong,-1,-1,0
stake-vote-econ-v2.0.0,31,correct,0,0,0
stake-vote-econ-v2.0.0,32,wrong,0,0,0
stake-vote-econ-v2.0.0,33,void,0,0,0
stake-vote-econ-v2.0.0,34,void,0,0,0
stake-vote-econ-v2.0.0,35,wrong,0,0,0
stake-vote-econ-v2.0.0,36,wrong,0,0,0
