model_version,q,n,alternative,paired_difference_alt_minus_honest_eth,ci95_low_eth,ci95_high_eth,honest_mean_eth,alternative_mean_eth,correct_rate,wrong_rate,void_rate,reps
stake-vote-econ-v2.0.0,0.51,15,honest,0.0,0.0,0.0,0.019659090909090914,0.019659090909090914,0.1775,0.1275,0.695,400
stake-vote-econ-v2.0.0,0.51,15,invert,-0.030970904095904105,-0.09171402029639396,0.02977221210458575,0.019659090909090914,-0.011311813186813185,0.1725,0.14,0.6875,400
stake-vote-econ-v2.0.0,0.51,15,always_buyer,-0.015844155844155848,-0.05522354817726411,0.023535236488952414,0.019659090909090914,0.00381493506493507,0.175,0.135,0.69,400
stake-vote-econ-v2.0.0,0.51,15,always_seller,-0.015126748251748258,-0.06142582767131601,0.0311723311678195,0.019659090909090914,0.00453234265734266,0.175,0.1325,0.6925,400
stake-vote-econ-v2.0.0,0.51,15,abstain,-0.019659090909090914,-0.05372629241051044,0.014408110592328615,0.019659090909090914,0.0,0.095,0.085,0.82,400
stake-vote-econ-v2.0.0,0.6,15,honest,0.0,0.0,0.0,-0.009494880119880122,-0.009494880119880122,0.4275,0.02,0.5525,400
stake-vote-econ-v2.0.0,0.6,15,invert,-0.07938436563436564,-0.15505380421538378,-0.0037149270533475,-0.009494880119880122,-0.08887924575424576,0.425,0.0375,0.5375,400
stake-vote-econ-v2.0.0,0.6,15,always_buyer,-0.05031905594405595,-0.10600100663554807,0.005362894747436155,-0.009494880119880122,-0.05981393606393606,0.4325,0.0375,0.53,400
stake-vote-econ-v2.0.0,0.6,15,always_seller,-0.029065309690309692,-0.08057790191335275,0.02244728253273336,-0.009494880119880122,-0.038560189810189806,0.42,0.02,0.56,400
stake-vote-econ-v2.0.0,0.6,15,abstain,0.009494880119880122,-0.03168931050564829,0.05067907074540854,-0.009494880119880122,0.0,0.3125,0.01,0.6775,400
stake-vote-econ-v2.0.0,0.7,15,honest,0.0,0.0,0.0,-0.017618006993006984,-0.017618006993006984,0.74,0.0,0.26,400
stake-vote-econ-v2.0.0,0.7,15,invert,-0.29911588411588413,-0.3936847018479557,-0.20454706638381256,-0.017618006993006984,-0.3167338911088911,0.6575,0.0025,0.34,400
stake-vote-econ-v2.0.0,0.7,15,always_buyer,-0.10719842657342657,-0.1699079174515108,-0.044488935695342346,-0.017618006993006984,-0.12481643356643354,0.6825,0.0025,0.315,400
stake-vote-econ-v2.0.0,0.7,15,always_seller,-0.19191745754245754,-0.26544937184178624,-0.11838554324312882,-0.017618006993006984,-0.2095354645354645,0.715,0.0,0.285,400
stake-vote-econ-v2.0.0,0.7,15,abstain,0.017618006993006984,-0.03296896854217822,0.0682049825281922,-0.017618006993006984,0.0,0.5975,0.0,0.4025,400
stake-vote-econ-v2.0.0,0.8,15,honest,0.0,0.0,0.0,0.022895229770229772,0.022895229770229772,0.9325,0.0,0.0675,400
stake-vote-econ-v2.0.0,0.8,15,invert,-0.7094536713286712,-0.7972311298136479,-0.6216762128436946,0.022895229770229772,-0.6865584415584415,0.9025,0.0,0.0975,400
stake-vote-econ-v2.0.0,0.8,15,always_buyer,-0.3414217032967033,-0.40805416789840254,-0.27478923869500405,0.022895229770229772,-0.3185264735264735,0.9225,0.0,0.0775,400
stake-vote-econ-v2.0.0,0.8,15,always_seller,-0.36803196803196797,-0.4434283200078708,-0.29263561605606514,0.022895229770229772,-0.3451367382617383,0.9125,0.0,0.0875,400
stake-vote-econ-v2.0.0,0.8,15,abstain,-0.022895229770229772,-0.06689658316868742,0.021106123628227877,0.022895229770229772,0.0,0.88,0.0,0.12,400
stake-vote-econ-v2.0.0,0.9,15,honest,0.0,0.0,0.0,0.005020604395604391,0.005020604395604391,0.9975,0.0,0.0025,400
stake-vote-econ-v2.0.0,0.9,15,invert,-0.8882736013986012,-0.953959514696428,-0.8225876881007744,0.005020604395604391,-0.8832529970029971,0.995,0.0,0.005,400
stake-vote-econ-v2.0.0,0.9,15,always_buyer,-0.44606893106893103,-0.5109617587910148,-0.38117610334684726,0.005020604395604391,-0.4410483266733267,0.9925,0.0,0.0075,400
stake-vote-econ-v2.0.0,0.9,15,always_seller,-0.4422046703296702,-0.5046699110001845,-0.37973942965915586,0.005020604395604391,-0.437184065934066,1.0,0.0,0.0,400
stake-vote-econ-v2.0.0,0.9,15,abstain,-0.005020604395604391,-0.03882175302796334,0.028780544236754562,0.005020604395604391,0.0,0.9925,0.0,0.0075,400
